year,region,value
2005,Адыгея,463.0
2005,Алтайский край,498.0
2005,Амурская область,568.0
2005,Архангельская область,750.0
2005,Астраханская область,565.0
2005,Башкортостан,563.0
2005,Белгородская область,674.0
2005,Брянская область,628.0
2005,Бурятия,488.0
2005,Владимирская область,789.0
2005,Волгоградская область,548.0
2005,Вологодская область,937.0
2005,Воронежская область,497.0
2005,Дагестан,211.0
2005,Еврейская автономная область,570.0
2005,Забайкальский край,524.0
2005,Ивановская область,810.0
2005,Ингушетия,57.0
2005,Иркутская область,585.0
2005,Кабардино-Балкария,514.0
2005,Калининградская область,500.0
2005,Калмыкия,567.0
2005,Калужская область,637.0
2005,Камчатский край,754.0
2005,Карачаево-Черкесия,359.0
2005,Карелия,892.0
2005,Кемеровская область,501.0
2005,Кировская область,763.0
2005,Костромская область,827.0
2005,Краснодарский край,488.0
2005,Красноярский край,536.0
2005,Крым,
2005,Курганская область,561.0
2005,Курская область,425.0
2005,Ленинградская область,674.0
2005,Липецкая область,491.0
2005,Магаданская область,879.0
2005,Марий Эл,676.0
2005,Мордовия,631.0
2005,Москва,597.0
2005,Московская область,707.0
2005,Мурманская область,1031.0
2005,Ненецкий автономный округ,869.0
2005,Нижегородская область,793.0
2005,Новгородская область,874.0
2005,Новосибирская область,504.0
2005,Омская область,486.0
2005,Оренбургская область,655.0
2005,Орловская область,717.0
2005,Пензенская область,617.0
2005,Пермский край,671.0
2005,Приморский край,576.0
2005,Псковская область,648.0
2005,Республика Алтай,386.0
2005,Республика Коми,865.0
2005,Республика Тыва,492.0
2005,Ростовская область,497.0
2005,Рязанская область,677.0
2005,Самарская область,619.0
2005,Санкт-Петербург,608.0
2005,Саратовская область,722.0
2005,Сахалинская область,573.0
2005,Свердловская область,693.0
2005,Севастополь,
2005,Северная Осетия,450.0
2005,Смоленская область,674.0
2005,Ставропольский край,542.0
2005,Тамбовская область,587.0
2005,Татарстан,676.0
2005,Тверская область,770.0
2005,Томская область,484.0
2005,Тульская область,743.0
2005,Тюменская область,528.0
2005,Удмуртия,820.0
2005,Ульяновская область,596.0
2005,Хабаровский край,727.0
2005,Хакасия,490.0
2005,Ханты-Мансийский автономный округ,528.0
2005,Челябинская область,700.0
2005,Чечня,0.0
2005,Чувашия,741.0
2005,Чукотский автономный округ,955.0
2005,Якутия,651.0
2005,Ямало-Ненецкий автономный округ,756.0
2005,Ярославская область,776.0
2006,Адыгея,450.0
2006,Алтайский край,486.0
2006,Амурская область,536.0
2006,Архангельская область,765.0
2006,Астраханская область,564.0
2006,Башкортостан,540.0
2006,Белгородская область,643.0
2006,Брянская область,625.0
2006,Бурятия,504.0
2006,Владимирская область,784.0
2006,Волгоградская область,544.0
2006,Вологодская область,824.0
2006,Воронежская область,491.0
2006,Дагестан,204.0
2006,Еврейская автономная область,570.0
2006,Забайкальский край,523.0
2006,Ивановская область,800.0
2006,Ингушетия,63.0
2006,Иркутская область,580.0
2006,Кабардино-Балкария,508.0
2006,Калининградская область,493.0
2006,Калмыкия,550.0
2006,Калужская область,612.0
2006,Камчатский край,740.0
2006,Карачаево-Черкесия,350.0
2006,Карелия,884.0
2006,Кемеровская область,496.0
2006,Кировская область,741.0
2006,Костромская область,819.0
2006,Краснодарский край,473.0
2006,Красноярский край,531.0
2006,Крым,
2006,Курганская область,574.0
2006,Курская область,430.0
2006,Ленинградская область,661.0
2006,Липецкая область,476.0
2006,Магаданская область,880.0
2006,Марий Эл,654.0
2006,Мордовия,633.0
2006,Москва,527.0
2006,Московская область,680.0
2006,Мурманская область,1031.0
2006,Ненецкий автономный округ,852.0
2006,Нижегородская область,756.0
2006,Новгородская область,876.0
2006,Новосибирская область,506.0
2006,Омская область,461.0
2006,Оренбургская область,643.0
2006,Орловская область,704.0
2006,Пензенская область,601.0
2006,Пермский край,647.0
2006,Приморский край,568.0
2006,Псковская область,636.0
2006,Республика Алтай,377.0
2006,Республика Коми,849.0
