x,y
120.7,80.0
119.5,77.0
121.0,77.9
120.7,79.4
125.8,81.1
117.0,74.8
117.7,77.9
122.5,82.6
123.8,78.1
119.7,77.2
118.9,77.5
123.2,80.7
118.6,76.9
122.9,74.9
122.7,78.0
119.5,78.9
122.5,80.3
125.1,83.1
120.8,87.2
121.3,81.6
118.4,83.1
125.1,81.8
120.6,81.4
124.9,80.2
124.3,79.1
118.8,76.4
121.6,83.9
122.3,84.0
121.7,79.8
124.1,80.9
122.2,79.7
120.5,82.4
122.5,81.9
120.8,78.3
123.1,83.4
121.5,85.9
124.1,85.3
123.5,76.8
122.7,83.7
123.2,79.7
120.2,77.2
120.7,75.8
118.6,80.6
122.0,82.7
125.0,82.0
123.7,80.5
119.7,75.1
123.0,83.3
120.5,79.2
117.3,77.5
120.9,83.5
125.7,86.4
121.2,82.2
119.4,77.5
120.6,78.8
122.8,83.6
121.9,83.6
117.6,80.8
120.4,83.6
122.1,79.1
123.9,78.1
116.1,80.2
127.1,80.9
119.7,82.1
123.7,81.9
118.0,79.9
122.4,78.4
115.3,78.5
122.9,82.7
122.8,86.2
118.9,82.9
119.2,76.4
118.7,82.8
121.0,83.8
123.6,81.3
123.7,84.3
122.2,82.3
120.2,79.7
119.5,79.4
120.5,75.5
119.1,81.4
128.1,84.4
115.8,78.5
124.5,80.1
122.7,78.0
123.5,78.3
122.3,85.6
121.2,78.8
122.5,80.5
121.7,79.5
120.2,78.0
117.8,80.6
120.5,76.6
124.5,85.1
122.8,78.9
121.7,83.8
118.9,75.8
125.8,83.0
121.0,78.1
124.1,79.9
